api8,lease_name,well_no,field_name,month_on_production,linear_regression_ml_forecast_oil_bbl,naive_last_rate_forecast_oil_bbl,trailing_3mo_forecast_oil_bbl,trailing_6mo_forecast_oil_bbl
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),88,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),89,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),90,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),91,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),92,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),93,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),94,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),95,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),96,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),97,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),98,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),99,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),100,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),101,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),102,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),103,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),104,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),105,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),106,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),107,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),108,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),109,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),110,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),111,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),112,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),113,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),114,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),115,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),116,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),117,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),118,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),119,0.0,0.0,0.0,0.0
31743171,BOHANAN-BLOCKER 3B,4H,SPRABERRY (TREND AREA),120,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),34,560.3950568573546,0.0,0.0,884.8333333333334
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),35,665.1940477733697,560.3950568573546,186.79835228578486,93.39917614289243
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),36,729.4399299938746,665.1940477733697,408.52970154357473,204.26485077178737
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),37,774.8104375075641,729.4399299938746,651.6763448748662,325.8381724374331
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),38,808.199025893141,774.8104375075641,723.1481384249361,454.97324535536046
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),39,835.9240178071527,808.199025893141,770.8164644648599,589.6730830042173
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),40,861.4001983969115,835.9240178071527,806.3111604026193,728.9937526387426
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),41,865.4938837717473,861.4001983969115,835.1744140324017,779.161276228669
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),42,854.1555993034717,865.4938837717473,854.2726999919372,812.5445822283986
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),43,831.4469288459468,854.1555993034717,860.3498938240435,833.3305271133314
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),44,799.7619299055605,831.4469288459468,850.3654706403886,842.7699423363952
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),45,760.5818449068561,799.7619299055605,828.4548193516597,841.3637596717984
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),46,714.6866706886485,760.5818449068561,797.2635678861211,828.8067308550823
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),47,662.3592470856283,714.6866706886485,758.3434818336883,804.3544762370384
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),48,604.3288256181286,662.3592470856283,712.5425875603777,770.4987034560187
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),49,541.3630182864199,604.3288256181286,660.4582477974685,728.8609078417949
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),50,474.12650111396124,541.3630182864199,602.6836969967256,680.513589415207
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),51,403.16665703726994,474.12650111396124,539.9394483395032,626.2410179499404
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),52,328.93178054795044,403.16665703726994,472.8853921458837,566.6718199716761
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),53,251.80243765858947,328.93178054795044,402.0749795663939,502.37933828155974
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),54,172.12459956642985,251.80243765858947,327.9669584146033,433.9532033770533
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),55,90.20994786121581,172.12459956642985,250.9529392576566,361.91916570177017
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),56,6.3337653404687275,90.20994786121581,171.37899502874504,286.72698729756945
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),57,0.0,6.3337653404687275,89.55610425603813,208.7615313353207
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),58,0.0,0.0,32.18123773389485,141.56708849577572
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),59,0.0,0.0,2.111255113489576,86.7451250711173
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),60,0.0,0.0,0.0,44.77805212801906
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),61,0.0,0.0,0.0,16.090618866947423
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),62,0.0,0.0,0.0,1.055627556744788
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),63,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),64,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),65,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),66,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),67,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),68,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),69,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),70,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),71,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),72,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),73,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),74,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),75,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),76,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),77,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),78,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),79,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),80,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),81,0.0,0.0,0.0,0.0
31743549,WELCH-COX E39V,322H,SPRABERRY (TREND AREA),82,0.0,0.0,0.0,0.0
