api8,lease_name,well_no,actual_test_oil_bbl,exponential_forecast_test_oil_bbl,exponential_error_bbl,exponential_percent_error,exponential_absolute_percent_error,exponential_qi_bbl_per_month,exponential_di_per_month,exponential_di_percent_per_month,hyperbolic_forecast_test_oil_bbl,hyperbolic_error_bbl,hyperbolic_percent_error,hyperbolic_absolute_percent_error,hyperbolic_qi_bbl_per_month,hyperbolic_di_per_month,hyperbolic_di_percent_per_month,hyperbolic_b_factor,harmonic_forecast_test_oil_bbl,harmonic_error_bbl,harmonic_percent_error,harmonic_absolute_percent_error,harmonic_qi_bbl_per_month,harmonic_di_per_month,harmonic_di_percent_per_month,harmonic_b_factor,best_model
31744072,DAVIS-LACY 31A,201H,38234.0,34202.528843704466,-4031.471156295536,-10.544204520310544,10.544204520310544,15040.37734153018,0.0476977667274045,4.769776672740454,37725.20490884462,-508.795091155378,-1.3307398942181776,1.3307398942181776,48113.43632595873,0.4,40.0,1.0561224489795915,37366.098298622695,-867.9017013773046,-2.269973587323598,2.269973587323598,42283.84348959035,0.319,31.9,1.0,hyperbolic
31743566,WELCH-COX E39A,301H,8763.0,8118.531460907924,-644.4685390920758,-7.354428153509937,7.354428153509937,10810.48720271151,0.0864967118820287,8.649671188202875,8275.541813149293,-487.4581868507066,-5.562686144593251,5.562686144593251,11474.84574113422,0.0936969696969697,9.369696969696973,0.05,13208.19864250848,4445.19864250848,50.7269045133913,50.7269045133913,18366.589581241733,0.4,40.0,1.0,hyperbolic
31744060,EPLEY-MARTIN 31G,107H,23252.0,24049.24763800956,797.2476380095541,3.4287271546944527,3.4287271546944527,11428.1456030936,0.0504018363888936,5.040183638889366,26706.5441232246,3454.544123224594,14.856976273974688,14.856976273974688,37319.84768395514,0.4,40.0,0.996938775510204,26738.59506906799,3486.595069067989,14.994817947135685,14.994817947135685,37181.20955813528,0.4,40.0,1.0,exponential
31743816,SCHARBAUER-DOVE 7D,4H,47441.0,50639.84052390543,3198.8405239054264,6.742776340940171,6.742776340940171,7456.900110036475,0.0097220960419995,0.9722096041999556,49241.27786185324,1800.2778618532393,3.794772163009294,3.794772163009294,8443.604565136642,0.0211515151515151,2.1151515151515152,1.5,49847.56195295079,2406.5619529507894,5.072747102613329,5.072747102613329,7942.124075594276,0.015,1.5,1.0,hyperbolic
31743818,SCHARBAUER-DOVE 7F,6H,37665.0,41867.91968099172,4202.919680991719,11.158687590579367,11.158687590579367,8993.898685451832,0.0227924879787967,2.279248797879672,41291.84147262334,3626.841472623338,9.629208741864698,9.629208741864698,9311.408712701274,0.0251818181818181,2.5181818181818185,0.0795918367346938,43390.36269822148,5725.362698221477,15.200750559462309,15.200750559462309,9695.049921345964,0.035,3.5000000000000004,1.0,hyperbolic
31743759,GLYNN-ATCHISON 44L,212H,20205.0,22541.73731382329,2336.737313823298,11.56514384470823,11.56514384470823,4521.21724430336,0.0204146916403161,2.041469164031613,22446.081444230924,2241.081444230924,11.091717120667774,11.091717120667774,6293.772227216972,0.0695151515151515,6.951515151515153,1.5,22542.93189108197,2337.931891081971,11.57105613007657,11.57105613007657,5253.536415586065,0.038,3.8,1.0,hyperbolic
31744407,DAVIS-LACY 31L,212H,38509.0,45539.70512436666,7030.705124366657,18.25730381045121,18.25730381045121,19072.837231951147,0.045998199726938,4.599819972693803,45889.300731040086,7380.300731040086,19.16513212765869,19.16513212765869,19641.53017148592,0.0493636363636363,4.936363636363637,0.0795918367346938,50130.80385653067,11621.80385653067,30.179448587422865,30.179448587422865,39580.4504905441,0.212,21.2,1.0,exponential
31744063,EPLEY-MARTIN 31H,108H,33117.0,39455.13514379387,6338.135143793872,19.13861504301076,19.13861504301076,5016.275105371626,0.0046489675667013,0.4648967566701397,39303.00898111108,6186.008981111081,18.67925531029708,18.67925531029708,5049.749123490411,0.005030303030303,0.503030303030303,0.05,39884.75552235617,6767.755522356172,20.435895529052065,20.435895529052065,4945.286083167407,0.004,0.4,1.0,hyperbolic
31744071,DAVIS-LACY 31B,202H,25850.0,32941.731714953974,7091.731714953974,27.43416524160145,27.43416524160145,13179.374967545937,0.0444034752975531,4.440347529755311,33408.43639600744,7558.436396007441,29.239599210860508,29.239599210860508,13177.613905826762,0.0453333333333333,4.533333333333333,0.05,36828.11133168186,10978.11133168186,42.4685157898718,42.4685157898718,20835.01275374711,0.142,14.2,1.0,exponential
31743549,WELCH-COX E39V,322H,10686.0,14790.89784813526,4104.897848135261,38.41379232767416,38.41379232767416,38498.09127942497,0.1101353061162128,11.01353061162128,15270.023573680732,4584.023573680732,42.89746934007797,42.89746934007797,42382.80752683351,0.1219090909090909,12.190909090909091,0.05,31743.181428796204,21057.181428796204,197.05391567280745,197.05391567280745,44140.31020318372,0.4,40.0,1.0,exponential
31743568,WELCH-COX E39T,320H,26184.0,61738.62330024386,35554.62330024386,135.7875928056976,135.7875928056976,4850.517521544468,-0.0119353428711826,-1.1935342871182613,53544.77253595703,27360.772535957032,104.49424280460218,104.49424280460218,6120.678205517792,0.001,0.1,1.5,53538.34662726517,27354.34662726517,104.46970144846156,104.46970144846156,6121.17909049982,0.001,0.1,1.0,harmonic
31744069,DAVIS-LACY 31D,204H,12724.0,37419.38478357008,24695.38478357008,194.0850737470141,194.0850737470141,3504.9795677806687,-0.0058849714234019,-0.5884971423401991,34686.6471324544,21962.647132454404,172.6080409655329,172.6080409655329,3967.379226016498,0.001,0.1,0.05,34694.83250750712,21970.83250750712,172.67237116871362,172.67237116871362,3966.750874319901,0.001,0.1,1.0,hyperbolic
31744051,EPLEY-MARTIN 31E,105H,51711.0,237108.0839247115,185397.0839247115,358.5254277130814,358.5254277130814,491.23641348550734,-0.1352379790316309,-13.523797903163093,49901.46927449974,-1809.5307255002624,-3.49931489528391,3.49931489528391,5704.213893272955,0.001,0.1,1.5,49895.48059866901,-1815.5194013309883,-3.51089594347622,3.51089594347622,5704.680696946907,0.001,0.1,1.0,hyperbolic
